Facility,FiscalYear,ProgramId,ObjectCodeId,CurrentModifiedAmount,PreEncumberedAmount,EncumberedAmount,ExpendedAmount,ProjectedAmount,PriorYearActualAmount,TotalObligated,,,,,,
DCI,2025,5,263,0.00,0.00,0.00,0.00,0.00,895.86,,,,,,,
DCI,2025,5,260,100000.00,0.00,0.00,37908.52,0.00,143493.45,,,,,,,
DCI,2025,5,264,0.00,0.00,12845.18,21.66,0.00,1238.10,,,,,,,
DCI,2025,4,282,5000.00,0.00,0.00,0.00,0.00,21.62,,,,,,,
DCI,2025,4,755,395781.00,0.00,0.00,37778.00,0.00,241833.71,,,,,,,
DCI,2025,4,387,0.00,0.00,0.00,0.00,,,,,,,,,
DCI,2025,4,1,874802.00,0.00,0.00,278937.24,,,,,,,,,
DCI,2025,4,260,5000.00,0.00,0.00,0.00,0.00,268.29,,,,,,,
DCI,2025,5,259,0.00,0.00,0.00,0.00,0.00,366.68,,,,,,,
DCI,2025,5,225,46857.00,0.00,3439.11,26132.81,0.00,73658.70,,,,,,,
DCI,2025,5,9,225.00,0.00,0.00,208846.49,682876.70,265551.15,,,,,,,
DCI,2025,4,14,0.00,0.00,0.00,7034.00,0.00,48225.00,,,,,,,
DCI,2025,5,226,0.00,0.00,0.00,0.00,0.00,64.55,,,,,,,
DCI,2025,4,231,0.00,0.00,0.00,0.00,0.00,2334.82,,,,,,,
DCI,2025,5,228,0.00,0.00,0.00,8109.54,0.00,8296.47,,,,,,,
DCI,2025,5,1,22965324.00,0.00,0.00,6459745.23,15265116.83,20290549.88,,,,,,,
DCI,2025,4,259,0.00,0.00,0.00,0.00,0.00,212.04,,,,,,,
DCI,2025,5,799,0.00,0.00,624322.18,-33727.84,-488183.16,59590.67,,,,,,,
DCI,2025,5,271,0.00,0.00,0.00,0.00,0.00,69.62,,,,,,,
DCI,2025,5,230,0.00,0.00,538.04,11032.76,0.00,48721.82,,,,,,,
DCI,2025,54,766,1527191.00,0.00,221247.23,246529.72,0.00,1541674.47,,,,,,,
DWCC,2025,5,286,0.00,0.00,0.00,0.00,,0.00,,,,,,,
DWCC,2025,5,247,0.00,0.00,0.00,10011.23,10000.00,22467.89,,,,,,,
DWCC,2025,5,88,786.00,0.00,12139.00,13859.62,18000.00,14893.92,,,,,,,
DWCC,2025,5,683,0.00,0.00,0.00,17990.00,,205456.58,,,,,,,
DWCC,2025,4,51,4212.00,0.00,0.00,2639.00,,4374.00,,,,,,,
DWCC,2025,5,46,203824.00,0.00,0.00,130578.72,,302261.84,,,,,,,
DWCC,2025,54,2,0.00,0.00,0.00,12639.41,,42260.78,,,,,,,
DWCC,2025,5,56,0.00,0.00,0.00,3472.12,6000.00,5253.50,,,,,,,
DWCC,2025,5,85,0.00,0.00,0.00,0.00,,148.00,,,,,,,
DWCC,2025,4,1,738872.00,0.00,0.00,373725.03,550385.00,825605.92,,,,,,,
DWCC,2025,4,46,10033.00,0.00,0.00,4701.17,,9077.90,,,,,,,
DWCC,2025,4,730,0.00,0.00,0.00,0.00,,229.50,,,,,,,
